6_0; 6_1; 6_2; 6_3; 6_4; 6_5; 6_6; 6_7; 6_8; 6_9; 6_10; 6_11; 6_12; 6_13; 6_14
 ; grass ( [g-g] [r-r] [a-ɑː] [ss-s] ); tide ( [t-t] [i.e-aɪ] [d-d] );  ;  ;  ; tire # ti-re ˈtaɪ.ə ( [t-t] [i-aɪ] [re-ə] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; wonder # won-der ˈwʌn.də ( [w-w] [o-ʌ] [n-n] [d-d] [er-ə] ) NULL; ours ( [our-aʊə] [s-z] );  ;  ;  ; load ( [l-l] [oa-əʊ] [d-d] );  ;  ;  ;  ;  ;  ;  ;  
 ; painting # paint-ing ˈpeɪnt.ɪŋ ( [p-p] [ai-eɪ] [n-n] [t-t] [i-ɪ] [ng-ŋ] ) NULL; cute ( [c-k] [u.e-juː] [t-t] );  ;  ;  ; flee ( [f-f] [l-l] [ee-iː] );  ;  ;  ;  ;  ;  ;  ;  
 ; battle # bat-tle ˈbæt.əl ( [b-b] [a-æ] [tt-t] [le-əl] ) NULL; toll ( [t-t] [o-əʊ] [ll-l] );  ;  ;  ; dear ( [d-d] [ear-ɪə] );  ;  ;  ;  ;  ;  ;  ;  
 ; farmer # far-mer ˈfɑː.mə ( [f-f] [ar-ɑː] [m-m] [er-ə] ) NULL; cure ( [c-k] [u-jʊ] [re-ə] );  ;  ;  ; rose ( [r-r] [o.e-əʊ] [s-z] );  ;  ;  ;  ;  ;  ;  ;  
 ; notion # no-tion ˈnəʊʃ.ən ( [n-n] [o-əʊ] [ti-ʃ] [o-ə] [n-n] ) NULL; fare ( [f-f] [a-e] [re-ə] );  ;  ;  ; rent ( [r-r] [e-e] [n-n] [t-t] );  ;  ;  ;  ;  ;  ;  ;  
 ; bottle # bot-tle ˈbɒt.əl ( [b-b] [o-ɒ] [tt-t] [le-əl] ) NULL; neat ( [n-n] [ea-iː] [t-t] );  ;  ;  ; fork ( [f-f] [or-ɔː] [k-k] );  ;  ;  ;  ;  ;  ;  ;  
 ; stranger # stran-ger ˈstreɪn.dʒə ( [s-s] [t-t] [r-r] [a-eɪ] [n-n] [g-dʒ] [er-ə] ) NULL; tight ( [t-t] [igh-aɪ] [t-t] );  ;  ;  ; peel ( [p-p] [ee-iː] [l-l] );  ;  ;  ;  ;  ;  ;  ;  
 ; an ( [a-ə] [n-n] ); swear ( [s-s] [w-w] [ear-eə] );  ;  ;  ; rear ( [r-r] [ear-ɪə] );  ;  ;  ;  ;  ;  ;  ;  
 ; raw ( [r-r] [aw-ɔː] ); march ( [m-m] [ar-ɑː] [ch-tʃ] );  ;  ;  ; rack ( [r-r] [a-æ] [ck-k] );  ;  ;  ;  ;  ;  ;  ;  
 ; tap ( [t-t] [a-æ] [p-p] ); sweat ( [s-s] [w-w] [ea-e] [t-t] );  ;  ;  ; cord ( [c-k] [or-ɔː] [d-d] );  ;  ;  ;  ;  ;  ;  ;  
 ; bay ( [b-b] [ay-eɪ] ); sheer ( [sh-ʃ] [eer-ɪə] );  ;  ;  ; heal ( [h-h] [ea-iː] [l-l] );  ;  ;  ;  ;  ;  ;  ;  
 ; pat ( [p-p] [a-æ] [t-t] ); closer # clos-er ˈkləʊs.ə ( [c-k] [l-l] [o-əʊ] [s-s] [er-ə] ) NULL;  ;  ;  ; tile ( [t-t] [i.e-aɪ] [l-l] );  ;  ;  ;  ;  ;  ;  ;  
 ; pale ( [p-p] [a.e-eɪ] [l-l] ); closet # clo-set ˈklɒ.zɪt ( [c-k] [l-l] [o-ɒ] [s-z] [e-ɪ] [t-t] ) NULL;  ;  ;  ; flesh ( [f-f] [l-l] [e-e] [sh-ʃ] );  ;  ;  ;  ;  ;  ;  ;  
 ; pole ( [p-p] [o.e-əʊ] [l-l] ); render # ren-der ˈren.də ( [r-r] [e-e] [n-n] [d-d] [er-ə] ) NULL;  ;  ;  ; flame ( [f-f] [l-l] [a.e-eɪ] [m-m] );  ;  ;  ;  ;  ;  ;  ;  
 ; rope ( [r-r] [o.e-əʊ] [p-p] ); rumour # ru-mour ˈruː.mə ( [r-r] [u-uː] [m-m] [our-ə] ) or;  ;  ;  ; towel ( [t-t] [ow-aʊ] [el-əl] );  ;  ;  ;  ;  ;  ;  ;  
 ; odds ( [o-ɒ] [dd-d] [s-z] ); tender # ten-der ˈten.də ( [t-t] [e-e] [n-n] [d-d] [er-ə] ) NULL;  ;  ;  ; scare ( [s-s] [c-k] [a-e] [re-ə] );  ;  ;  ;  ;  ;  ;  ;  
 ; coal ( [c-k] [oa-əʊ] [l-l] ); rocket ( [r-r] [o-ɒ] [ck-k] [e-ɪ] [t-t] );  ;  ;  ; angel # an-gel ˈeɪn.dʒəl ( [a-eɪ] [n-n] [g-dʒ] [el-əl] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; rape ( [r-r] [a.e-eɪ] [p-p] ); tumour # tu-mour ˈtuː.mə ( [t-t] [u-uː] [m-m] [our-ə] ) NULL;  ;  ;  ; purse ( [p-p] [ur-ɜː] [se-s] );  ;  ;  ;  ;  ;  ;  ;  
 ; bath ( [b-b] [a-ɑː] [th-θ] ); patent ( [p-p] [a.e-eɪ] [t-t] [n-n] [t-t] );  ;  ;  ; royal # roy-al ˈrɔɪ.əl ( [r-r] [oy-ɔɪ] [a-ə] [l-l] ) al;  ;  ;  ;  ;  ;  ;  ;  
 ; dawn ( [d-d] [aw-ɔː] [n-n] ); bucket # buck-et ˈbʌk.ɪt ( [b-b] [u-ʌ] [ck-k] [e-ɪ] [t-t] ) NULL;  ;  ;  ; pulse ( [p-p] [u-ʌ] [l-l] [se-s] );  ;  ;  ;  ;  ;  ;  ;  
 ; barn ( [b-b] [ar-ɑː] [n-n] ); marker ( [m-m] [ar-ɑː] [k-k] [er-ə] );  ;  ;  ; frown ( [f-f] [r-r] [ow-aʊ] [n-n] );  ;  ;  ;  ;  ;  ;  ;  
 ; rack ( [r-r] [a-æ] [ck-k] ); blanket ( [b-b] [l-l] [a-æ] [n-ŋ] [k-k] [e-ɪ] [t-t] );  ;  ;  ; steer ( [s-s] [t-t] [eer-ɪə] );  ;  ;  ;  ;  ;  ;  ;  
 ; sail ( [s-s] [ai-eɪ] [l-l] ); tightly # tight-ly ˈtaɪt.li ( [t-t] [igh-aɪ] [t-t] [l-l] [y-i] ) NULL;  ;  ;  ; liver # li-ver ˈlɪ.və ( [l-l] [i-ɪ] [v-v] [er-ə] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; sock ( [s-s] [o-ɒ] [ck-k] ); rolling # rol-ling ˈrəʊl.ɪŋ ( [r-r] [o-əʊ] [ll-l] [i-ɪ] [ng-ŋ] ) NULL;  ;  ;  ; scared ( [s-s] [c-k] [a-e] [re-ə] [d-d] );  ;  ;  ;  ;  ;  ;  ;  
 ; pork ( [p-p] [or-ɔː] [k-k] ); starting # start-ing ˈstɑːt.ɪŋ ( [s-s] [t-t] [ar-ɑː] [t-t] [i-ɪ] [ng-ŋ] ) NULL;  ;  ;  ; cancel # can-cel ˈkæn.səl ( [c-k] [a-æ] [n-n] [c-s] [el-əl] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; cord ( [c-k] [or-ɔː] [d-d] );  ;  ;  ;  ; lightly # light-ly ˈlaɪt.li ( [l-l] [igh-aɪ] [t-t] [l-l] [y-i] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; sack ( [s-s] [a-æ] [ck-k] );  ;  ;  ;  ; lighting # light-ing ˈlaɪt.ɪŋ ( [l-l] [igh-aɪ] [t-t] [i-ɪ] [ng-ŋ] ) NULL;  ;  ;  ;  ;  ;  ;  ;  
 ; toll ( [t-t] [o-əʊ] [ll-l] );  ;  ;  ;  ; loyal ( [l-l] [oy-ɔɪ] [a-ə] [l-l] );  ;  ;  ;  ;  ;  ;  ;  
 ; sole ( [s-s] [o.e-əʊ] [l-l] );  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 ; adapt # a-dapt ə.ˈdæpt ( [a-ə] [d-d] [a-æ] [p-p] [t-t] ) NULL;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 ; shore ( [sh-ʃ] [ore-ɔː] );  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 ; boost ( [b-b] [oo-uː] [s-s] [t-t] );  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 ; scare ( [s-s] [c-k] [a-e] [re-ə] );  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 ; whale ( [wh-w] [a.e-eɪ] [l-l] );  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 ; stack ( [s-s] [t-t] [a-æ] [ck-k] );  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 ; gross ( [g-g] [r-r] [o-əʊ] [ss-s] );  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 ; boast ( [b-b] [oa-əʊ] [s-s] [t-t] );  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 ; drown ( [d-d] [r-r] [ow-aʊ] [n-n] );  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 ; partly # part-ly ˈpɑːt.li ( [p-p] [ar-ɑː] [t-t] [l-l] [y-i] ) NULL;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
