0_0; 0_1; 0_2; 0_3; 0_4; 0_5; 0_6; 0_7; 0_8; 0_9; 0_10; 0_11; 0_12; 0_13; 0_14; 0_15; 0_16; 0_17; 0_18; 0_19; 0_20; 0_21; 0_22; 0_23; 0_24; 0_25; 0_26; 0_27; 0_28; 0_29; 0_30; 0_31; 0_32; 0_33; 0_34; 0_35; 0_36; 0_37; 0_38; 0_39; 0_40; 0_41; 0_42; 0_43; 0_44; 0_45; 0_46; 0_47; 0_48
t-t; tt-t; p-p; pp-p; n-n; nn-n; s-s; ss-s; c-s; d-d; dd-d; h-h; r-r; rr-r; m-m; mm-m; b-b; bb-b; l-l; ll-l; f-f; ff-f; ph-f; g-g; gg-g; k-k; c-k; ck-k; ng-ŋ; nk-ŋk; th-θ; v-v; w-w; sh-ʃ; s-ʃ; ss-ʃ; y-j; j-dʒ; g-dʒ; dg-dʒ; que-k; z-z; zz-z; s-z; ch-tʃ; tch-tʃ; th-ð; x-gz; x-ks
to ( [t-t] [o-uː] ); getting # get-ting ˈget.ɪŋ ( [g-g] [e-e] [tt-t] [i-ɪ] [ng-ŋ] ) ing; up ( [u-ʌ] [p-p] ); happen # hap-pen ˈhæ.pən ( [h-h] [a-æ] [pp-p] [e-ə] [n-n] ) NULL; in ( [i-ɪ] [n-n] ); manned ( [m-m] [a-æ] [nn-n] [ed-d] ); so ( [s-s] [o-əʊ] ); pass ( [p-p] [a-ɑː] [ss-s] ); city # ci-ty ˈsɪ.ti ( [c-s] [i-ɪ] [t-t] [y-i] ) NULL; do ( [d-d] [o-uː] ); add ( [a-æ] [dd-d] ); he ( [h-h] [e-i] ); try ( [t-t] [r-r] [y-aɪ] ); warring # war-ring ˈwɔːr.ɪŋ ( [w-w] [a-ɔː] [rr-r] [i-ɪ] [ng-ŋ] ) ing; my ( [m-m] [y-aɪ] ); summer # sum-mer ˈsʌ.mə ( [s-s] [u-ʌ] [mm-m] [er-ə] ) NULL; be ( [b-b] [e-i] ); clubbed ( [c-k] [l-l] [u-ʌ] [bb-b] [ed-d] ); let ( [l-l] [e-e] [t-t] ); all ( [a-ɔː] [ll-l] ); if ( [i-ɪ] [f-f] ); off ( [o-ɒ] [ff-f] ); phone ( [ph-f] [o.e-əʊ] [n-n] ); go ( [g-g] [o-əʊ] ); bigger # big-ger ˈbɪ.gə ( [b-b] [i-ɪ] [gg-g] [er-ə] ) er; ask ( [a-ɑː] [s-s] [k-k] ); can ( [c-k] [a-æ] [n-n] ); back ( [b-b] [a-æ] [ck-k] ); thing ( [th-θ] [i-ɪ] [ng-ŋ] ); think ( [th-θ] [i-ɪ] [n-ŋ] [k-k] ); think ( [th-θ] [i-ɪ] [n-ŋ] [k-k] ); have ( [h-h] [a-æ] [v-v] [e-] ); we ( [w-w] [e-i] ); she ( [sh-ʃ] [e-i] ); sure ( [s-ʃ] [u-ʊ] [re-ə] ); issue # is-sue ˈɪ.ʃuː ( [i-ɪ] [ss-ʃ] [ue-uː] ) NULL; you ( [y-j] [ou-u] ); just ( [j-dʒ] [u-ə] [s-s] [t-t] ); gene ( [g-dʒ] [e.e-iː] [n-n] ); edger # e-dger ˈe.dʒə ( [e-e] [dg-dʒ] [er-ə] ) er; unique # u-nique juː.ˈniːk ( [u-juː] [n-n] [i-iː] [que-k] ) NULL; zone ( [z-z] [o.e-əʊ] [n-n] ); jazz ( [j-dʒ] [a-æ] [zz-z] ); as ( [a-æ] [s-z] ); much ( [m-m] [u-ʌ] [ch-tʃ] ); watch ( [w-w] [a-ɒ] [tch-tʃ] ); the ( [th-ð] [e-i:] ); exist # ex-ist ɪg.ˈzɪst ( [e-ɪ] [x-gz] [i-ɪ] [s-s] [t-t] ) NULL; six ( [s-s] [i-ɪ] [x-ks] )
it ( [i-ɪ] [t-t] ); letting # let-ting ˈlet.ɪŋ ( [l-l] [e-e] [tt-t] [i-ɪ] [ng-ŋ] ) ing; put ( [p-p] [u-ʊ] [t-t] ); appear # ap-pear ə.ˈpɪə ( [a-ə] [pp-p] [ear-ɪə] ) NULL; on ( [o-ɒ] [n-n] ); evenness ( [e.e-iː] [v-vn] [nn-n] [e-ə] [ss-s] ); say ( [s-s] [ay-eɪ] ); less ( [l-l] [e-e] [ss-s] ); cell ( [c-s] [e-e] [ll-l] ); and ( [a-æ] [n-n] [d-d] ); odd ( [o-ɒ] [dd-d] ); his ( [h-h] [i-ɪ] [s-z] ); from ( [f-f] [r-r] [o-ɒ] [m-m] ); carry # car-ry ˈkæ.ri ( [c-k] [a-æ] [rr-r] [y-i] ) NULL; me ( [m-m] [e-iː] ); common # com-mon ˈkɒ.mən ( [c-k] [o-ɒ] [mm-m] [o-ə] [n-n] ) NULL; by ( [b-b] [y-aɪ] ); grabbed ( [g-g] [r-r] [a-æ] [bb-b] [ed-d] ); old ( [o-əʊ] [l-l] [d-d] ); will ( [w-w] [i-ɪ] [ll-l] ); for ( [f-f] [or-ɔː] ); offer # of-fer ˈɒ.fə ( [o-ɒ] [ff-f] [er-ə] ) NULL; photo # pho-to ˈfəʊ.təʊ ( [ph-f] [o-əʊ] [t-t] [o-əʊ] ) NULL; get ( [g-g] [e-e] [t-t] ); egg ( [e-e] [gg-g] ); make ( [m-m] [a.e-eɪ] [k-k] ); come ( [c-k] [o.e-ʌ] [m-m] ); pick ( [p-p] [i-ɪ] [ck-k] ); something # some-thing ˈsʌm.θɪŋ ( [s-s] [o.e-ʌ] [m-m] [th-θ] [i-ɪ] [ng-ŋ] ) NULL; bank ( [b-b] [a-æ] [n-ŋ] [k-k] ); thing ( [th-θ] [i-ɪ] [ng-ŋ] ); very # ver-y ˈver.i ( [v-v] [e-e] [r-r] [y-i] ) NULL; way ( [w-w] [ay-eɪ] ); should ( [sh-ʃ] [oul-ʊ] [d-d] ); sugar # su-gar ˈʃʊ.gə ( [s-ʃ] [u-ʊ] [g-g] [ar-ə] ) NULL; pressure # pres-sure ˈpre.ʃə ( [p-p] [r-r] [e-e] [ss-ʃ] [ure-ə] ) NULL; year ( [y-j] [e-i] [ar-ə] ); job ( [j-dʒ] [o-ɒ] [b-b] ); agent # a-gent ˈeɪ.dʒənt ( [a-eɪ] [g-dʒ] [e-ə] [n-n] [t-t] ) NULL; budget # budg-et ˈbʌdʒ.ət ( [b-b] [u-ʌ] [dg-dʒ] [e-ə] [t-t] ) NULL; technique # tech-nique tek.ˈniːk ( [t-t] [e-e] [ch-k] [n-n] [i-iː] [que-k] ) NULL; sizes # si-zes ˈsaɪ.zɪz ( [s-s] [i-aɪ] [z-z] [e-ɪ] [s-z] ) s; puzzle # puz-zle ˈpʌz.əl ( [p-p] [u-ʌ] [zz-z] [le-əl] ) NULL; us ( [u-ə] [s-z] ); which ( [wh-w] [i-ɪ] [ch-tʃ] ); catch ( [c-k] [a-æ] [tch-tʃ] ); that ( [th-ð] [a-æ] [t-t] ); exactly # ex-act-ly ɪg.ˈzækt.li ( [e-ɪ] [x-gz] [a-æ] [c-k] [t-t] [l-l] [y-i] ) NULL; tax ( [t-t] [a-æ] [x-ks] )
at ( [a-æ] [t-t] ); putting # put-ting ˈpʊt.ɪŋ ( [p-p] [u-ʊ] [tt-t] [i-ɪ] [ng-ŋ] ) ing; keep ( [k-k] [ee-iː] [p-p] ); stopped ( [s-s] [t-t] [o-ɒ] [pp-p] [ed-t] ); no ( [n-n] [o-əʊ] ); winning # win-ning ˈwɪn.ɪŋ ( [w-w] [i-ɪ] [nn-n] [i-ɪ] [ng-ŋ] ) ing; see ( [s-s] [ee-iː] ); loss ( [l-l] [o-ɒ] [ss-s] ); cite ( [c-s] [i.e-aɪ] [t-t] ); day ( [d-d] [ay-eɪ] ); kidded # kid-ded ˈkɪ.dɪd ( [k-k] [i-ɪ] [dd-d] [e-ɪ] [d-d] ) ed; her ( [h-h] [er-ə] ); very # ver-y ˈver.i ( [v-v] [e-e] [r-r] [y-i] ) NULL; worry # wor-ry ˈwʌ.ri ( [w-w] [o-ʌ] [rr-r] [y-i] ) NULL; him ( [h-h] [i-ɪ] [m-m] ); community # com-mu-ni-ty kə.ˈmjuː.nɪ.ti ( [c-k] [o-ə] [mm-m] [u-juː] [n-n] [i-ɪ] [t-t] [y-i] ) ity; but ( [b-b] [u-ʌ] [t-t] ); lobby # lob-by ˈlɒ.bi ( [l-l] [o-ɒ] [bb-b] [y-i] ) NULL; like ( [l-l] [i.e-aɪ] [k-k] ); well ( [w-w] [e-e] [ll-l] ); from ( [f-f] [r-r] [o-ɒ] [m-m] ); office # of-fice ˈɒf.ɪs ( [o-ɒ] [ff-f] [i-ɪ] [ce-s] ) NULL; phase ( [ph-f] [a.e-eɪ] [s-z] ); big ( [b-b] [i-ɪ] [g-g] ); dogged ( [d-d] [o-ɒ] [gg-g] [ed-d] ); take ( [t-t] [a.e-eɪ] [k-k] ); call ( [c-k] [a-ɔː] [ll-l] ); rock ( [r-r] [o-ɒ] [ck-k] ); long ( [l-l] [o-ɒ] [ng-ŋ] ); link ( [l-l] [i-ɪ] [n-ŋ] [k-k] ); three ( [th-θ] [r-r] [ee-iː] ); give ( [g-g] [i.e-ɪ] [v-v] ); with ( [w-w] [i-ɪ] [th-ð] ); show ( [sh-ʃ] [o-əʊ] [w-] ); ensure # en-sure ɪn.ˈʃʊə ( [e-ɪ] [n-n] [s-ʃ] [u-ʊ] [re-ə] ) NULL; assure # as-sure ə.ˈʃɔː ( [a-ə] [ss-ʃ] [ure-ɔː] ) NULL; your ( [y-j] [our-ə] ); join ( [j-dʒ] [oi-ɔɪ] [n-n] ); giant # gi-ant ˈdʒaɪ.ənt ( [g-dʒ] [i-aɪ] [a-ə] [n-n] [t-t] ) NULL; judged ( [j-dʒ] [u-ʌ] [dg-dʒ] [ed-d] );  ; dozen # doz-en ˈdʌz.ən ( [d-d] [o-ʌ] [z-z] [e-ə] [n-n] ) NULL;  ; his ( [h-h] [i-ɪ] [s-z] ); child ( [ch-tʃ] [i-aɪ] [l-l] [d-d] ); match ( [m-m] [a-æ] [tch-tʃ] ); with ( [w-w] [i-ɪ] [th-ð] ); example # ex-amp-le ɪg.ˈzɑːmp.əl ( [e-ɪ] [x-gz] [a-ɑː] [m-m] [p-p] [le-əl] ) NULL; box ( [b-b] [o-ɒ] [x-ks] )
but ( [b-b] [u-ʌ] [t-t] ); little # lit-tle ˈlɪt.əl ( [l-l] [i-ɪ] [tt-t] [le-əl] ) NULL; group ( [g-g] [r-r] [ou-uː] [p-p] ); happy # hap-py ˈhæp.i ( [h-h] [a-æ] [pp-p] [y-i] ) NULL; and ( [a-æ] [n-n] [d-d] ); planned ( [p-p] [l-l] [a-æ] [nn-n] [ed-d] ); its ( [i-ɪ] [t-t] [s-s] ); miss ( [m-m] [i-ɪ] [ss-s] ); policy # po-li-cy ˈpɒ.lə.si ( [p-p] [o-ɒ] [l-l] [i-ə] [c-s] [y-i] ) NULL; old ( [o-əʊ] [l-l] [d-d] ); redder # red-der ˈre.də ( [r-r] [e-e] [dd-d] [er-ə] ) er; him ( [h-h] [i-ɪ] [m-m] ); three ( [th-θ] [r-r] [ee-iː] ); sorry # sor-ry ˈsɒ.ri ( [s-s] [o-ɒ] [rr-r] [y-i] ) NULL; man ( [m-m] [a-æ] [n-n] ); programmed # pro-grammed ˈprəʊ.græmd ( [p-p] [r-r] [o-əʊ] [g-g] [r-r] [a-æ] [mm-m] [ed-d] ) ed; big ( [b-b] [i-ɪ] [g-g] ); rubbed ( [r-r] [u-ʌ] [bb-b] [ed-d] ); look ( [l-l] [oo-ʊ] [k-k] ); tell ( [t-t] [e-e] [ll-l] ); find ( [f-f] [i-aɪ] [n-n] [d-d] ); effect # ef-fect ɪ.ˈfekt ( [e-ɪ] [ff-f] [e-e] [c-k] [t-t] ) NULL; physical # phy-sic-al ˈfɪ.zɪk.əl ( [ph-f] [y-ɪ] [s-z] [i-ɪ] [c-k] [a-ə] [l-l] ) al; give ( [g-g] [i.e-ɪ] [v-v] ); bagged ( [b-b] [a-æ] [gg-g] [ed-d] ); like ( [l-l] [i.e-aɪ] [k-k] ); could ( [c-k] [oul-ʊ] [d-d] ); lack ( [l-l] [a-æ] [ck-k] ); hang ( [h-h] [a-æ] [ng-ŋ] ); tank ( [t-t] [a-æ] [n-ŋ] [k-k] ); through ( [th-θ] [r-r] [ough-uː] ); even # ev-en ˈiːv.ən ( [e-iː] [v-v] [e-ə] [n-n] ) NULL; will ( [w-w] [i-ɪ] [ll-l] ); push ( [p-p] [u-ʊ] [sh-ʃ] ); insurance # in-su-rance ɪn.ˈʃʊə.rəns ( [i-ɪ] [n-n] [s-ʃ] [u-ʊə] [r-r] [a-ə] [n-n] [ce-s] ) NULL; tissue # tis-sue ˈtɪ.ʃuː ( [t-t] [i-ɪ] [ss-ʃ] [ue-uː] ) NULL; yes ( [y-j] [e-e] [s-s] ); jump ( [j-dʒ] [u-ʌ] [m-m] [p-p] ); energy # e-ner-gy ˈe.nə.dʒi ( [e-e] [n-n] [er-ə] [g-dʒ] [y-i] ) NULL; bridges # bri-dges ˈbrɪ.dʒɪz ( [b-b] [r-r] [i-ɪ] [dg-dʒ] [e-ɪ] [s-z] ) s;  ; crazy # cra-zy ˈkreɪ.zi ( [c-k] [r-r] [a-eɪ] [z-z] [y-i] ) y;  ; these ( [th-ð] [e.e-iː] [s-z] ); such ( [s-s] [u-ʌ] [ch-tʃ] ); kitchen # ki-tchen ˈkɪ.tʃɪn ( [k-k] [i-ɪ] [tch-tʃ] [e-ɪ] [n-n] ) NULL; this ( [th-ð] [i-ɪ] [s-s] ); executive # ex-e-cu-tive ɪg.ˈze.kjʊ.tɪv ( [e-ɪ] [x-gz] [e-e] [c-k] [u-jʊ] [t-t] [i.e-ɪ] [v-v] ) NULL; sex ( [s-s] [e-e] [x-ks] )
not ( [n-n] [o-ɒ] [t-t] ); cutter # cut-ter ˈkʌ.tə ( [c-k] [u-ʌ] [tt-t] [er-ə] ) er; people # peop-le ˈpiːp.əl ( [p-p] [eo-iː] [p-p] [le-əl] ) NULL; apply # ap-ply ə.ˈplaɪ ( [a-ə] [pp-p] [l-l] [y-aɪ] ) NULL; not ( [n-n] [o-ɒ] [t-t] ); funny # fun-ny ˈfʌ.ni ( [f-f] [u-ʌ] [nn-n] [y-i] ) NULL; ask ( [a-ɑː] [s-s] [k-k] ); class ( [c-k] [l-l] [a-ɑː] [ss-s] ); decide # de-cide dɪ.ˈsaɪd ( [d-d] [e-ɪ] [c-s] [i.e-aɪ] [d-d] ) NULL; find ( [f-f] [i-aɪ] [n-n] [d-d] ); middle # mid-dle ˈmɪd.əl ( [m-m] [i-ɪ] [dd-d] [le-əl] ) NULL; how ( [h-h] [ow-aʊ] ); group ( [g-g] [r-r] [ou-uː] [p-p] ); marry # mar-ry ˈmæ.ri ( [m-m] [a-æ] [rr-r] [y-i] ) NULL; may ( [m-m] [ay-eɪ] ); commercial # com-mer-cial kə.ˈmɜːʃ.əl ( [c-k] [o-ə] [mm-m] [er-ɜː] [ci-ʃ] [a-ə] [l-l] ) al; back ( [b-b] [a-æ] [ck-k] ); bubble # bub-ble ˈbʌb.əl ( [b-b] [u-ʌ] [bb-b] [le-əl] ) NULL; also # al-so ˈɔːl.səʊ ( [a-ɔː] [l-l] [s-s] [o-əʊ] ) NULL; call ( [c-k] [a-ɔː] [ll-l] ); life ( [l-l] [i.e-aɪ] [f-f] ); effort # ef-fort ˈe.fət ( [e-e] [ff-f] [or-ə] [t-t] ) NULL; telephone # te-le-phone ˈte.lɪ.fəʊn ( [t-t] [e-e] [l-l] [e-ɪ] [ph-f] [o.e-əʊ] [n-n] ) NULL; good ( [g-g] [oo-ʊ] [d-d] ); struggle # strug-gle ˈstrʌg.əl ( [s-s] [t-t] [r-r] [u-ʌ] [gg-g] [le-əl] ) NULL; look ( [l-l] [oo-ʊ] [k-k] ); become # be-come bɪ.ˈkʌm ( [b-b] [e-ɪ] [c-k] [o.e-ʌ] [m-m] ) NULL; neck ( [n-n] [e-e] [ck-k] ); song ( [s-s] [o-ɒ] [ng-ŋ] ); thank ( [th-θ] [a-æ] [n-ŋ] [k-k] ); something # some-thing ˈsʌm.θɪŋ ( [s-s] [o.e-ʌ] [m-m] [th-θ] [i-ɪ] [ng-ŋ] ) NULL; over # o-ver ˈəʊ.və ( [o-əʊ] [v-v] [er-ə] ) NULL; want ( [w-w] [a-ɒ] [n-n] [t-t] ); fish ( [f-f] [i-ɪ] [sh-ʃ] ); surely # sure-ly ˈʃʊə.li ( [s-ʃ] [u-ʊ] [re-ə] [l-l] [y-i] ) NULL;  ; yet ( [y-j] [e-e] [t-t] ); jury # ju-ry ˈdʒʊə.ri ( [j-dʒ] [u-ʊə] [r-r] [y-i] ) NULL; agency # a-gen-cy ˈeɪ.dʒən.si ( [a-eɪ] [g-dʒ] [e-ə] [n-n] [c-s] [y-i] ) NULL; acknowledged # ac-know-ledged ək.ˈnɒ.lɪdʒd ( [a-ə] [c-k] [kn-n] [o-ɒ] [w-] [l-l] [e-ɪ] [dg-dʒ] [ed-d] ) ed;  ; magazine # ma-ga-zine ˌmæ.gə.ˈziːn ( [m-m] [a-æ] [g-g] [a-ə] [z-z] [i-iː] [n-n] [e-] ) NULL;  ; those ( [th-ð] [o.e-əʊ] [s-z] ); each ( [ea-iː] [ch-tʃ] ); stretch ( [s-s] [t-t] [r-r] [e-e] [tch-tʃ] ); they ( [th-ð] [ey-eɪ] ); examine # ex-a-mine ɪg.ˈzæ.mɪn ( [e-ɪ] [x-gz] [a-æ] [m-m] [i.e-ɪ] [n-n] ) NULL; mix ( [m-m] [i-ɪ] [x-ks] )
get ( [g-g] [e-e] [t-t] ); better # bet-ter ˈbe.tə ( [b-b] [e-e] [tt-t] [er-ə] ) NULL; pay ( [p-p] [ay-eɪ] ); upper # up-per ˈʌ.pə ( [u-ʌ] [pp-p] [er-ə] ) NULL; can ( [c-k] [a-æ] [n-n] ); inner # in-ner ˈɪ.nə ( [i-ɪ] [nn-n] [er-ə] ) NULL; this ( [th-ð] [i-ɪ] [s-s] ); across # a-cross ə.ˈkrɒs ( [a-ə] [c-k] [r-r] [o-ɒ] [ss-s] ) NULL; process # pro-cess ˈprəʊ.ses ( [p-p] [r-r] [o-əʊ] [c-s] [e-e] [ss-s] ) NULL; good ( [g-g] [oo-ʊ] [d-d] ); bedding # bed-ding ˈbed.ɪŋ ( [b-b] [e-e] [dd-d] [i-ɪ] [ng-ŋ] ) ing; have ( [h-h] [a-æ] [v-v] [e-] ); great ( [g-g] [r-r] [ea-eɪ] [t-t] ); error # er-ror ˈe.rə ( [e-e] [rr-r] [or-ə] ) NULL; from ( [f-f] [r-r] [o-ɒ] [m-m] ); commit # com-mit kə.ˈmɪt ( [c-k] [o-ə] [mm-m] [i-ɪ] [t-t] ) NULL; about # a-bout ə.ˈbaʊt ( [a-ə] [b-b] [ou-aʊ] [t-t] ) NULL; webbed ( [w-w] [e-e] [bb-b] [ed-d] ); only # on-ly ˈəʊn.li ( [o-əʊ] [n-n] [l-l] [y-i] ) NULL; still ( [s-s] [t-t] [i-ɪ] [ll-l] ); feel ( [f-f] [ee-iː] [l-l] ); staff ( [s-s] [t-t] [a-ɑː] [ff-f] ); emphasise # em-pha-sise ˈem.fə.saɪz ( [e-e] [m-m] [ph-f] [a-ə] [s-s] [i-aɪ] [se-z] ) NULL; group ( [g-g] [r-r] [ou-uː] [p-p] ); digger # dig-ger ˈdɪ.gə ( [d-d] [i-ɪ] [gg-g] [er-ə] ) er; work ( [w-w] [or-ɜː] [k-k] ); because # be-cause bɪ.ˈkɒz ( [b-b] [e-ɪ] [c-k] [au-ɒ] [s-z] [e-] ) NULL; sick ( [s-s] [i-ɪ] [ck-k] ); sing ( [s-s] [i-ɪ] [ng-ŋ] ); pink ( [p-p] [i-ɪ] [n-ŋ] [k-k] ); both ( [b-b] [o-əʊ] [th-θ] ); never # ne-ver ˈne.və ( [n-n] [e-e] [v-v] [er-ə] ) NULL; well ( [w-w] [e-e] [ll-l] ); wish ( [w-w] [i-ɪ] [sh-ʃ] ); threshold # thres-hold ˈθreʃ.həʊld ( [th-θ] [r-r] [e-e] [s-ʃ] [h-h] [o-əʊ] [l-l] [d-d] ) NULL;  ; yard ( [y-j] [ar-ɑː] [d-d] ); major # ma-jor ˈmeɪ.dʒə ( [m-m] [a-eɪ] [j-dʒ] [or-ə] ) or; general # gen-er-al ˈdʒen.ər.əl ( [g-dʒ] [e-e] [n-n] [e-ə] [r-r] [a-ə] [l-l] ) al; ridges # ri-dges ˈrɪ.dʒɪz ( [r-r] [i-ɪ] [dg-dʒ] [e-ɪ] [s-z] ) s;  ; recognizing # rec-og-niz-ing ˈrek.əg.naɪz.ɪŋ ( [r-r] [e-e] [c-k] [o-ə] [g-g] [n-n] [i-aɪ] [z-z] [i-ɪ] [ng-ŋ] ) ing;  ; because # be-cause bɪ.ˈkɒz ( [b-b] [e-ɪ] [c-k] [au-ɒ] [s-z] [e-] ) NULL; rich ( [r-r] [i-ɪ] [ch-tʃ] ); switch ( [s-s] [w-w] [i-ɪ] [tch-tʃ] ); them ( [th-ð] [e-ə] [m-m] ); existing # ex-ist-ing ɪg.ˈzɪst.ɪŋ ( [e-ɪ] [x-gz] [i-ɪ] [s-s] [t-t] [i-ɪ] [ng-ŋ] ) NULL; fix ( [f-f] [i-ɪ] [x-ks] )
out ( [ou-aʊ] [t-t] ); sitting # sit-ting ˈsɪt.ɪŋ ( [s-s] [i-ɪ] [tt-t] [i-ɪ] [ng-ŋ] ) ing; per ( [p-p] [er-ɜː] ); apple # ap-ple ˈæp.əl ( [a-æ] [pp-p] [le-əl] ) NULL; now ( [n-n] [ow-aʊ] ); gunned ( [g-g] [u-ʌ] [nn-n] [ed-d] ); just ( [j-dʒ] [u-ə] [s-s] [t-t] ); process # pro-cess ˈprəʊ.ses ( [p-p] [r-r] [o-əʊ] [c-s] [e-e] [ss-s] ) NULL; civil # ci-vil ˈsɪ.vəl ( [c-s] [i-ɪ] [v-v] [i-ə] [l-l] ) NULL; down ( [d-d] [ow-aʊ] [n-n] ); address # ad-dress ə.ˈdres ( [a-ə] [dd-d] [r-r] [e-e] [ss-s] ) NULL; here ( [h-h] [e-ɪ] [re-ə] ); really # real-ly ˈrɪə.li ( [r-r] [e-ɪ] [a-ə] [ll-l] [y-i] ) NULL; arrive # ar-rive ə.ˈraɪv ( [a-ə] [rr-r] [i.e-aɪ] [v-v] ) NULL; make ( [m-m] [a.e-eɪ] [k-k] ); comment # com-ment ˈkɒ.ment ( [c-k] [o-ɒ] [mm-m] [e-e] [n-n] [t-t] ) NULL; become # be-come bɪ.ˈkʌm ( [b-b] [e-ɪ] [c-k] [o.e-ʌ] [m-m] ) NULL; rabbit # rab-bit ˈræ.bɪt ( [r-r] [a-æ] [bb-b] [i-ɪ] [t-t] ) NULL; life ( [l-l] [i.e-aɪ] [f-f] ); really # real-ly ˈrɪə.li ( [r-r] [e-ɪ] [a-ə] [ll-l] [y-i] ) NULL; first ( [f-f] [ir-ɜː] [s-s] [t-t] ); stuff ( [s-s] [t-t] [u-ʌ] [ff-f] ); photograph # pho-to-graph ˈfəʊ.tə.grɑːf ( [ph-f] [o-əʊ] [t-t] [o-ə] [g-g] [r-r] [a-ɑː] [ph-f] ) NULL; great ( [g-g] [r-r] [ea-eɪ] [t-t] ); dragged ( [d-d] [r-r] [a-æ] [gg-g] [ed-d] ); keep ( [k-k] [ee-iː] [p-p] ); country # countr-y ˈkʌntr.i ( [c-k] [ou-ʌ] [n-n] [t-t] [r-r] [y-i] ) NULL; kick ( [k-k] [i-ɪ] [ck-k] ); ring # r-ing rɪŋ ( [r-r] [i-ɪ] [ng-ŋ] ) NULL; rank ( [r-r] [a-æ] [n-ŋ] [k-k] ); path ( [p-p] [a-ɑː] [th-θ] ); leave ( [l-l] [ea-iː] [v-v] [e-] ); work ( [w-w] [or-ɜː] [k-k] ); shot ( [sh-ʃ] [o-ɒ] [t-t] );  ;  ; young ( [y-j] [ou-ʌ] [ng-ŋ] ); joke ( [j-dʒ] [o.e-əʊ] [k-k] ); manager # ma-na-ger ˈmæ.nɪ.dʒə ( [m-m] [a-æ] [n-n] [a-ɪ] [g-dʒ] [er-ə] ) NULL;  ;  ; organizations # or-ga-ni-za-tions ˌɔː.gə.naɪ.ˈzeɪʃ.ənz ( [or-ɔː] [g-g] [a-ə] [n-n] [i-aɪ] [z-z] [a-eɪ] [ti-ʃ] [o-ə] [n-n] [s-z] ) s;  ; Ms ( [m-mɪ] [s-z] ); reach ( [r-r] [ea-iː] [ch-tʃ] ); pitch ( [p-p] [i-ɪ] [tch-tʃ] ); than ( [th-ð] [a-æ] [n-n] ); existence # ex-i-stence ɪg.ˈzɪ.stəns ( [e-ɪ] [x-gz] [i-ɪ] [s-s] [t-t] [e-ə] [n-n] [ce-s] ) NULL; next ( [n-n] [e-e] [x-ks] [t-t] )
