2_0; 2_1; 2_2; 2_3; 2_4; 2_5; 2_6; 2_7; 2_8; 2_9; 2_10; 2_11; 2_12; 2_13; 2_14; 2_15; 2_16; 2_17; 2_18; 2_19; 2_20; 2_21; 2_22; 2_23; 2_24; 2_25; 2_26; 2_27; 2_28; 2_29; 2_30; 2_31; 2_32; 2_33; 2_34; 2_35; 2_36; 2_37; 2_38; 2_39; 2_40; 2_41; 2_42; 2_43; 2_44; 2_45; 2_46; 2_47; 2_48; 2_49; 2_50; 2_51; 2_52; 2_53; 2_54; 2_55; 2_56; 2_57; 2_58; 2_59; 2_60; 2_61; 2_62; 2_63; 2_64; 2_65; 2_66; 2_67; 2_68; 2_69; 2_70; 2_71; 2_72; 2_73; 2_74; 2_75; 2_76; 2_77; 2_78; 2_79; 2_80; 2_81; 2_82; 2_83; 2_84; 2_85; 2_86; 2_87; 2_88; 2_89; 2_90; 2_91; 2_92; 2_93; 2_94; 2_95; 2_96; 2_97; 2_98; 2_99; 2_100; 2_101; 2_102; 2_103; 2_104; 2_105; 2_106; 2_107; 2_108; 2_109; 2_110; 2_111; 2_112; 2_113; 2_114; 2_115; 2_116; 2_117; 2_118; 2_119; 2_120; 2_121; 2_122; 2_123; 2_124; 2_125; 2_126; 2_127; 2_128; 2_129
ip-ɪp; in-ɪn; st-st; sp-sp; sn-sn; sm-sm; ad-æd; and-ænd; de-de; act-ækt; sc-sk; cr-kr; dr-dr; pr-pr; tr-tr; str-str; spr-spr; scr-skr; ed-t; ed-d; am-æm; amp-æmp; im-ɪm; Vb-Vb; br-br; Vlt-Vlt; bl-bl; cl-kl; pl-pl; sl-sl; spl-spl; Vll-Vl; Vss-Vs; Vft-Vft; elf-elf; fl-fl; fr-fr; Vg-Vg; gl-gl; gr-gr; Vsk-Vsk; Vlk-Vlk; sk-sk; Vng-Vŋ; Vnk-Vŋk; thank-θæŋk; ath-ɑːθ; oth-ɒθ; ength-eŋθ; Vck-Vk; ic-ɪk; ve-v; sw-sw; tw-tw; dw-dw; wa-wɒ; tion-ʃən; swa-swɒ; Vsh-Vʃ; shr-ʃr; Vx-Vks; zz-z; Vff-Vf; Vnch-Vntʃ; Vse-Vz; Vze-Vz; arch-ɑːtʃ; Vce-Vs; Vnce-Vns; wh-w; Vge-Vdʒ; Vrge-Vdʒ; Vnge-Vndʒ; Vdge-Vdʒ; ble-bəl; fle-fəl; ple-pəl; tle-təl; dle-dəl; kle-kəl; cle-kəl; gle-gəl; zle-zəl; stle-səl; c-s; sc-s; age-ɪdʒ; ege-ɪdʒ; Vtch-Vtʃ; ph-f; pph-f; ch-k; ch-ʃ; kn-n; gn-n; gh-g; ps-s; rh-r; mb-m; bt-t; mn-m; wr-r; pt-pt; st-s; gu-g; gue-g; que-k; sch-sk; xc-ks; alC-ɑːC; oh-əʊ; cqu-kw; ngue-ŋ; olC-əʊC; quarC-kwɔːC; Cre-Cə; ro-rə; wor-wɜː; sci-saɪ; scle-səl; sure-ʒə; ti-ʃ; ci-ʃ; zure-ʒə; thr-θr; nd-nd; nt-nt; nch-ntʃ; mp-mp; cise-saɪz
lip ( [l-l] [i-ɪ] [p-p] ); in ( [i-ɪ] [n-n] ); still ( [s-s] [t-t] [i-ɪ] [ll-l] ); spot ( [s-s] [p-p] [o-ɒ] [t-t] ); snow ( [s-s] [n-n] [o-əʊ] [w-] ); small ( [s-s] [m-m] [a-ɔː] [ll-l] ); bad ( [b-b] [a-æ] [d-d] ); and ( [a-æ] [n-n] [d-d] ); desk ( [d-d] [e-e] [s-s] [k-k] ); act ( [a-æ] [c-k] [t-t] ); score ( [s-s] [c-k] [ore-ɔː] ); cry ( [c-k] [r-r] [y-aɪ] ); dry ( [d-d] [r-r] [y-aɪ] ); price ( [p-p] [r-r] [i-aɪ] [ce-s] ); try ( [t-t] [r-r] [y-aɪ] ); strong ( [s-s] [t-t] [r-r] [o-ɒ] [ng-ŋ] ); spring ( [s-s] [p-p] [r-r] [i-ɪ] [ng-ŋ] ); screen ( [s-s] [c-k] [r-r] [ee-iː] [n-n] ); liked ( [l-l] [i-aɪ] [k-k] [ed-t] ); timed ( [t-t] [i-aɪ] [m-m] [ed-d] ); program # pro-gram ˈprəʊ.græm ( [p-p] [r-r] [o-əʊ] [g-g] [r-r] [a-æ] [m-m] ) NULL; camp ( [c-k] [a-æ] [m-m] [p-p] ); him ( [h-h] [i-ɪ] [m-m] ); job ( [j-dʒ] [o-ɒ] [b-b] ); bring ( [b-b] [r-r] [i-ɪ] [ng-ŋ] ); salt ( [s-s] [a-ɔː] [l-l] [t-t] ); blue ( [b-b] [l-l] [ue-uː] ); club ( [c-k] [l-l] [u-ʌ] [b-b] ); play ( [p-p] [l-l] [ay-eɪ] ); slip ( [s-s] [l-l] [i-ɪ] [p-p] ); split ( [s-s] [p-p] [l-l] [i-ɪ] [t-t] ); all ( [a-ɔː] [ll-l] ); newness # new-ness ˈnjuː.nəs ( [n-n] [ew-juː] [n-n] [e-ə] [ss-s] ) ness; left ( [l-l] [e-e] [f-f] [t-t] ); himself # him-self hɪm.ˈself ( [h-h] [i-ɪ] [m-m] [s-s] [e-e] [l-l] [f-f] ) NULL; fly ( [f-f] [l-l] [y-aɪ] ); from ( [f-f] [r-r] [o-ɒ] [m-m] ); big ( [b-b] [i-ɪ] [g-g] ); glad ( [g-g] [l-l] [a-æ] [d-d] ); group ( [g-g] [r-r] [ou-uː] [p-p] ); ask ( [a-ɑː] [s-s] [k-k] ); milk ( [m-m] [i-ɪ] [l-l] [k-k] ); ask ( [a-ɑː] [s-s] [k-k] ); thing ( [th-θ] [i-ɪ] [ng-ŋ] ); think ( [th-θ] [i-ɪ] [n-ŋ] [k-k] ); thank ( [th-θ] [a-æ] [n-ŋ] [k-k] ); path ( [p-p] [a-ɑː] [th-θ] ); cloth ( [c-k] [l-l] [o-ɒ] [th-θ] ); length ( [l-l] [e-e] [ng-ŋ] [th-θ] ); back ( [b-b] [a-æ] [ck-k] ); music # mu-sic ˈmjuː.zɪk ( [m-m] [u-juː] [s-z] [i-ɪ] [c-k] ) NULL; have ( [h-h] [a-æ] [v-v] [e-] ); sweet ( [s-s] [w-w] [ee-iː] [t-t] ); twin ( [t-t] [w-w] [i-ɪ] [n-n] ); dwindle ( [d-d] [w-w] [i-ɪ] [n-n] [d-d] [le-əl] ); want ( [w-w] [a-ɒ] [n-n] [t-t] ); nation # na-tion ˈneɪʃ.ən ( [n-n] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; swallow # swal-low ˈswɒ.ləʊ ( [s-s] [w-w] [a-ɒ] [ll-l] [o-əʊ] [w-] ) NULL; push ( [p-p] [u-ʊ] [sh-ʃ] ); shrug ( [sh-ʃ] [r-r] [u-ʌ] [g-g] ); six ( [s-s] [i-ɪ] [x-ks] ); jazz ( [j-dʒ] [a-æ] [zz-z] ); off ( [o-ɒ] [ff-f] ); lunch ( [l-l] [u-ʌ] [n-n] [ch-tʃ] ); these ( [th-ð] [e.e-iː] [s-z] ); size ( [s-s] [i-aɪ] [ze-z] ); march ( [m-m] [ar-ɑː] [ch-tʃ] ); ice ( [i-aɪ] [ce-s] ); since ( [s-s] [i-ɪ] [n-n] [ce-s] ); why ( [wh-w] [y-aɪ] ); age ( [a-eɪ] [ge-dʒ] ); large ( [l-l] [ar-ɑː] [ge-dʒ] ); change ( [ch-tʃ] [a-eɪ] [n-n] [ge-dʒ] ); edge ( [e-e] [dge-dʒ] ); able # ab-le ˈeɪb.əl ( [a-eɪ] [b-b] [le-əl] ) NULL; rifle # ri-fle ˈraɪ.fəl ( [r-r] [i-aɪ] [f-f] [le-əl] ) NULL; people # peop-le ˈpiːp.əl ( [p-p] [eo-iː] [p-p] [le-əl] ) NULL; little # lit-tle ˈlɪt.əl ( [l-l] [i-ɪ] [tt-t] [le-əl] ) NULL; middle # mid-dle ˈmɪd.əl ( [m-m] [i-ɪ] [dd-d] [le-əl] ) NULL; ankle # ank-le ˈæŋk.əl ( [a-æ] [n-ŋ] [k-k] [le-əl] ) NULL; cycle # cyc-le ˈsaɪk.əl ( [c-s] [y-aɪ] [c-k] [le-əl] ) NULL; single # sin-gle ˈsɪŋ.gəl ( [s-s] [i-ɪ] [n-ŋ] [g-g] [le-əl] ) NULL; puzzle # puz-zle ˈpʌz.əl ( [p-p] [u-ʌ] [zz-z] [le-əl] ) NULL; castle # ca-stle ˈkɑː.səl ( [k-l] [a-ɑː] [st-s] [le-əl] ) NULL; city # ci-ty ˈsɪ.ti ( [c-s] [i-ɪ] [t-t] [y-i] ) NULL; scene ( [sc-s] [e.e-iː] [n-n] ); image # i-mage ˈɪ.mɪdʒ ( [i-ɪ] [m-m] [a-ɪ] [ge-dʒ] ) NULL; college # col-lege ˈkɒ.lɪdʒ ( [c-k] [o-ɒ] [ll-l] [e-ɪ] [ge-dʒ] ) NULL; watch ( [w-w] [a-ɒ] [tch-tʃ] ); phone ( [ph-f] [o.e-əʊ] [n-n] ); sapphire # sapph-i-re ˈsæf.aɪə ( [s-s] [a-æ] [pph-f] [i-a] [re-ɪə] ) NULL; character # cha-rac-ter ˈkæ.rək.tə ( [ch-k] [a-æ] [r-r] [a-ə] [c-k] [t-t] [er-ə] ) NULL; chef ( [ch-ʃ] [e-e] [f-f] ); know ( [kn-n] [o-əʊ] [w-] ); gnome ( [gn-n] [o.e-əʊ] [m-m] ); ghost ( [gh-g] [o-əʊ] [s-s] [t-t] ); psychological # psych-o-lo-gic-al ˌsaɪk.ə.ˈlɒ.dʒɪk.əl ( [ps-s] [y-aɪ] [ch-k] [o-ə] [l-l] [o-ɒ] [g-dʒ] [i-ɪ] [c-k] [a-ə] [l-l] ) al; rhythm # rhy-thm ˈrɪ.ðəm ( [rh-r] [y-ɪ] [th-ðə] [m-m] ) NULL; bomb ( [b-b] [o-ɒ] [mb-m] ); debt ( [d-d] [e-e] [bt-t] ); column # co-lumn ˈkɒ.ləm ( [c-k] [o-ɒ] [l-l] [u-ə] [mn-m] ) NULL; write ( [wr-r] [i.e-aɪ] [t-t] ); adopt # a-dopt ə.ˈdɒpt ( [a-ə] [d-d] [o-ɒ] [p-p] [t-t] ) NULL; listen # list-en ˈlɪs.ən ( [l-l] [i-ɪ] [st-s] [e-ə] [n-n] ) NULL; guard ( [gu-g] [ar-ɑː] [d-d] ); league ( [l-l] [ea-iː] [gue-g] ); unique # u-nique juː.ˈniːk ( [u-juː] [n-n] [i-iː] [que-k] ) NULL; school ( [s-s] [ch-k] [oo-uː] [l-l] ); except # ex-cept ɪk.ˈsept ( [e-ɪ] [x-k] [c-s] [e-e] [p-p] [t-t] ) NULL; half ( [h-h] [al-ɑː] [f-f] ); oh ( [oh-əʊ] ); acquire # a-cqui-re ə.ˈkwaɪ.ə ( [a-ə] [cqu-kw] [i-aɪ] [re-ə] ) NULL; tongue ( [t-t] [o-ʌ] [ngue-ŋ] ); roll ( [r-r] [o-əʊ] [ll-l] ); quarter # quar-ter ˈkwɔː.tə ( [q-k] [u-w] [ar-ɔː] [t-t] [er-ə] ) NULL; fibre # fi-bre ˈfaɪ.bə ( [f-f] [i-aɪ] [b-b] [re-ə] ) NULL; provide # pro-vide prə.ˈvaɪd ( [p-p] [r-r] [o-ə] [v-v] [i.e-aɪ] [d-d] ) NULL; work ( [w-w] [or-ɜː] [k-k] ); science # sci-ence ˈsaɪ.əns ( [sc-s] [i-aɪ] [e-ə] [n-n] [ce-s] ) NULL; muscle # musc-le ˈmʌs.əl ( [m-m] [u-ʌ] [sc-s] [le-əl] ) NULL; measure # mea-sure ˈme.ʒə ( [m-m] [ea-e] [s-ʒ] [ure-ə] ) sure; nation # na-tion ˈneɪʃ.ən ( [n-n] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; social # so-cial ˈsəʊʃ.əl ( [s-s] [o-əʊ] [ci-ʃ] [a-ə] [l-l] ) cial; seizure # sei-zure ˈsiː.ʒə ( [s-s] [ei-iː] [z-ʒ] [ure-ə] ) ure; three ( [th-θ] [r-r] [ee-iː] ); and ( [a-æ] [n-n] [d-d] ); want ( [w-w] [a-ɒ] [n-n] [t-t] ); lunch ( [l-l] [u-ʌ] [n-n] [ch-tʃ] ); camp ( [c-k] [a-æ] [m-m] [p-p] ); exercise # ex-er-cise ˈek.sə.saɪz ( [e-e] [x-ks] [er-ə] [c-s] [i-aɪ] [se-z] ) NULL
tip ( [t-t] [i-ɪ] [p-p] ); win ( [w-w] [i-ɪ] [n-n] ); state ( [s-s] [t-t] [a.e-eɪ] [t-t] ); speak ( [s-s] [p-p] [ea-iː] [k-k] ); snap ( [s-s] [n-n] [a-æ] [p-p] ); smile ( [s-s] [m-m] [i.e-aɪ] [l-l] ); dad ( [d-d] [a-æ] [d-d] ); hand ( [h-h] [a-æ] [n-n] [d-d] ); debt ( [d-d] [e-e] [bt-t] ); fact ( [f-f] [a-æ] [c-k] [t-t] ); scale ( [s-s] [c-k] [a.e-eɪ] [l-l] ); crew ( [c-k] [r-r] [ew-uː] ); draw ( [d-d] [r-r] [aw-ɔː] ); problem # pro-blem ˈprɒ.bləm ( [p-p] [r-r] [o-ɒ] [b-b] [l-l] [e-ə] [m-m] ) NULL; tree ( [t-t] [r-r] [ee-iː] ); street ( [s-s] [t-t] [r-r] [ee-iː] [t-t] ); spread ( [s-s] [p-p] [r-r] [ea-e] [d-d] ); scream ( [s-s] [c-k] [r-r] [ea-iː] [m-m] ); asked ( [a-ɑː] [s-s] [k-k] [ed-t] ); owned ( [ow-əʊ] [n-n] [ed-d] ); dam ( [d-d] [a-æ] [m-m] ); lamp ( [l-l] [a-æ] [m-m] [p-p] ); victim # vic-tim ˈvɪk.tɪm ( [v-v] [i-ɪ] [c-k] [t-t] [i-ɪ] [m-m] ) NULL; lab ( [l-l] [a-æ] [b-b] ); break ( [b-b] [r-r] [ea-eɪ] [k-k] ); result # re-sult rɪ.ˈzʌlt ( [r-r] [e-ɪ] [s-z] [u-ʌ] [l-l] [t-t] ) NULL; blow ( [b-b] [l-l] [o-əʊ] [w-] ); class ( [c-k] [l-l] [a-ɑː] [ss-s] ); plan ( [p-p] [l-l] [a-æ] [n-n] ); slow ( [s-s] [l-l] [o-əʊ] [w-] );  ; will ( [w-w] [i-ɪ] [ll-l] ); pass ( [p-p] [a-ɑː] [ss-s] ); lift ( [l-l] [i-ɪ] [f-f] [t-t] ); self ( [s-s] [e-e] [l-l] [f-f] ); flow ( [f-f] [l-l] [o-əʊ] [w-] ); free ( [f-f] [r-r] [ee-iː] ); dog ( [d-d] [o-ɒ] [g-g] ); glass ( [g-g] [l-l] [a-ɑː] [ss-s] ); great ( [g-g] [r-r] [ea-eɪ] [t-t] ); risk ( [r-r] [i-ɪ] [s-s] [k-k] ); silk ( [s-s] [i-ɪ] [l-l] [k-k] ); sky ( [s-s] [k-k] [y-aɪ] ); something # some-thing ˈsʌm.θɪŋ ( [s-s] [o.e-ʌ] [m-m] [th-θ] [i-ɪ] [ng-ŋ] ) NULL; bank ( [b-b] [a-æ] [n-ŋ] [k-k] ); thanks ( [th-θ] [a-æ] [n-ŋ] [k-k] [s-s] ); bath ( [b-b] [a-ɑː] [th-θ] );  ; strength ( [s-s] [t-t] [r-r] [e-e] [ng-ŋ] [th-θ] ); pick ( [p-p] [i-ɪ] [ck-k] ); public # pu-blic ˈpʌ.blɪk ( [p-p] [u-ʌ] [b-b] [l-l] [i-ɪ] [c-k] ) NULL; leave ( [l-l] [ea-iː] [v-v] [e-] ); swing ( [s-s] [w-w] [i-ɪ] [ng-ŋ] ); twice ( [t-t] [w-w] [i-aɪ] [ce-s] );  ; watch ( [w-w] [a-ɒ] [tch-tʃ] ); action # ac-tion ˈæk.ʃən ( [a-æ] [c-k] [ti-ʃ] [o-ə] [n-n] ) NULL;  ; fish ( [f-f] [i-ɪ] [sh-ʃ] ); shrimp ( [sh-ʃ] [r-r] [i-ɪ] [m-m] [p-p] ); tax ( [t-t] [a-æ] [x-ks] );  ; staff ( [s-s] [t-t] [a-ɑː] [ff-f] ); bunch ( [b-b] [u-ʌ] [n-n] [ch-tʃ] ); those ( [th-ð] [o.e-əʊ] [s-z] ); gaze ( [g-g] [a-eɪ] [ze-z] );  ; face ( [f-f] [a-eɪ] [ce-s] ); dance ( [d-d] [a-ɑː] [n-n] [ce-s] ); what ( [wh-w] [a-ɒ] [t-t] ); page ( [p-p] [a-eɪ] [ge-dʒ] ); urge ( [ur-ɜː] [ge-dʒ] ); range ( [r-r] [a-eɪ] [n-n] [ge-dʒ] ); judge ( [j-dʒ] [u-ʌ] [dge-dʒ] ); table # tab-le ˈteɪb.əl ( [t-t] [a-eɪ] [b-b] [le-əl] ) NULL;  ; apple # ap-ple ˈæp.əl ( [a-æ] [pp-p] [le-əl] ) NULL; title # tit-le ˈtaɪt.əl ( [t-t] [i-aɪ] [t-t] [le-əl] ) NULL; handle # han-dle ˈhæn.dəl ( [h-h] [a-æ] [n-n] [d-d] [le-əl] ) NULL; tackle # tack-le ˈtæk.əl ( [t-t] [a-æ] [ck-k] [le-əl] ) NULL; article # ar-tic-le ˈɑː.tɪk.əl ( [ar-ɑː] [t-t] [i-ɪ] [c-k] [le-əl] ) NULL; struggle # strug-gle ˈstrʌg.əl ( [s-s] [t-t] [r-r] [u-ʌ] [gg-g] [le-əl] ) NULL;  ;  ; cell ( [c-s] [e-e] [ll-l] ); science # sci-ence ˈsaɪ.əns ( [sc-s] [i-aɪ] [e-ə] [n-n] [ce-s] ) NULL; manage # ma-nage ˈmæ.nɪdʒ ( [m-m] [a-æ] [n-n] [a-ɪ] [ge-dʒ] ) NULL; privilege # pri-vi-lege ˈprɪ.vɪ.lɪdʒ ( [p-p] [r-r] [i-ɪ] [v-v] [i-ɪ] [l-l] [e-ɪ] [ge-dʒ] ) NULL; catch ( [c-k] [a-æ] [tch-tʃ] ); photo # pho-to ˈfəʊ.təʊ ( [ph-f] [o-əʊ] [t-t] [o-əʊ] ) NULL;  ; characteristic # cha-rac-te-ri-stic ˌkæ.rək.tə.ˈrɪ.stɪk ( [ch-k] [a-æ] [r-r] [a-ə] [c-k] [t-t] [e-ə] [r-r] [i-ɪ] [s-s] [t-t] [i-ɪ] [c-k] ) NULL;  ; knee ( [kn-n] [ee-iː] );  ;  ; psychology # psych-o-lo-gy saɪˈk.ɒ.lə.dʒi ( [ps-s] [y-aɪ] [ch-k] [o-ɒ] [l-l] [o-ə] [g-dʒ] [y-i] ) NULL; rhetoric # rhe-to-ric ˈre.tə.rɪk ( [rh-r] [e-e] [t-t] [o-ə] [r-r] [i-ɪ] [c-k] ) NULL; climb ( [c-k] [l-l] [i-aɪ] [mb-m] ); doubt ( [d-d] [ou-aʊ] [bt-t] ); damn ( [d-d] [a-æ] [mn-m] ); wrap ( [wr-r] [a-æ] [p-p] ); accept # ac-cept ək.ˈsept ( [a-ə] [c-k] [c-s] [e-e] [p-p] [t-t] ) NULL; castle # ca-stle ˈkɑː.səl ( [k-l] [a-ɑː] [st-s] [le-əl] ) NULL; guarantee # gua-ran-tee ˌgæ.rən.ˈtiː ( [gu-g] [a-æ] [r-r] [a-ə] [n-n] [t-t] [ee-iː] ) NULL; colleague # col-league ˈkɒ.liːg ( [c-k] [o-ɒ] [ll-l] [ea-iː] [gue-g] ) NULL; technique # tech-nique tek.ˈniːk ( [t-t] [e-e] [ch-k] [n-n] [i-iː] [que-k] ) NULL; scholar # scho-lar ˈskɒ.lə ( [s-s] [ch-k] [o-ɒ] [l-l] [ar-ə] ) NULL; excellent # ex-cel-lent ˈek.sə.lənt ( [e-e] [x-k] [c-s] [e-ə] [ll-l] [e-ə] [n-n] [t-t] ) NULL; palm ( [p-p] [al-ɑː] [m-m] );  ; acquisition # a-cqui-si-tion ˌæ.kwɪ.ˈzɪʃ.ən ( [a-æ] [cqu-kw] [i-ɪ] [s-z] [i-ɪ] [ti-ʃ] [o-ə] [n-n] ) NULL;  ; folk ( [f-f] [ol-əʊ] [k-k] ); quarterback # quar-ter-back ˈkwɔː.tə.bæk ( [q-k] [u-w] [ar-ɔː] [t-t] [er-ə] [b-b] [a-æ] [ck-k] ) NULL; centre # cen-ter ˈsen.tə ( [c-s] [e-e] [n-n] [t-t] [re-ə] ) NULL; project # pro-ject prə.ˈdʒekt ( [p-p] [r-r] [o-ə] [j-dʒ] [e-e] [c-k] [t-t] ) NULL; world ( [w-w] [or-ɜː] [l-l] [d-d] ); scientist # sci-en-tist ˈsaɪ.ən.tɪst ( [sc-s] [i-aɪ] [e-ə] [n-n] [t-t] [i-ɪ] [s-s] [t-t] ) ist;  ; pleasure # plea-sure ˈple.ʒə ( [p-p] [l-l] [ea-e] [s-ʒ] [ure-ə] ) sure; action # ac-tion ˈæk.ʃən ( [a-æ] [c-k] [ti-ʃ] [o-ə] [n-n] ) NULL; special # spe-cial ˈspeʃ.əl ( [s-s] [p-p] [e-e] [ci-ʃ] [a-ə] [l-l] ) cial;  ; through ( [th-θ] [r-r] [ough-uː] ); find ( [f-f] [i-aɪ] [n-n] [d-d] ); student # stu-dent ˈstjuː.dənt ( [s-s] [t-t] [u-juː] [d-d] [e-ə] [n-n] [t-t] ) NULL; bunch ( [b-b] [u-ʌ] [n-n] [ch-tʃ] ); jump ( [j-dʒ] [u-ʌ] [m-m] [p-p] ); criticise # cri-ti-cise ˈkrɪ.tɪ.saɪz ( [c-k] [r-r] [i-ɪ] [t-t] [i-ɪ] [c-s] [i-aɪ] [se-z] ) NULL
